
Co./Last Name							Invoice No.	Date				Item Number	Quantity	Description																																		Record ID
Reunion Bar & Restaurant Loftus							F52886184	02/05/2026				PQ10	5	Potatoes - Cut (Roast)																																		SH2
Reunion Bar & Restaurant Loftus							F52886184	02/05/2026				GAB	1	Garlic - Peeled																																		SH2

Munchies Eston							F53167192	02/05/2026				RCL	18	Chips - Raw Chunky																																		MU2
Munchies Eston							F53167192	02/05/2026				Key	1	Key																																		MU2

Badger's Bar - Guisborough							F53166813	02/05/2026				HM	1	Herb - Mint																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				LE	2	Lemons																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				LIM	1	Limes																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				MU	1	Mushrooms - Open White Flats																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				ONC	1	Onions - Chilli																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				O	1	Oranges - Medium																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				PFB	2	Passionfruit																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				LW	2	Salad - Bryans Leafy Salad																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				TK	1	Tomatoes																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				PAK	1	Parsley - Curly																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				HC	1	Herb - Chives																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				PR	2	Peppers - Red																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				PY	2	Peppers - Yellow																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				LEE	1	Leeks																																		BA4
Badger's Bar - Guisborough							F53166813	02/05/2026				PARK	1	Parsnip																																		BA4

MJ'S Cake Cafe Ltd							F53157225	02/05/2026				LI	3	Lettuce - Iceberg																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				MB6	4	Mushrooms - Button (Medium)																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				MWW	1	Mushrooms - Wild																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				PEC	3	Pea Shoots																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				TEN	3	Salad - Tender Leaves																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				SP	2	Spinach																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				TK	1	Tomatoes																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				TCP	1	Tomatoes - Cherry																																		MJ
MJ'S Cake Cafe Ltd							F53157225	02/05/2026				JB4	1	Potatoes - Jacket 40's																																		MJ

Gemini's Pizzas Redcar							F52888051	02/05/2026				RC14	2	Chips - Raw Fish Shop																																		GE8
Gemini's Pizzas Redcar							F52888051	02/05/2026				Key	1	Key																																		GE8

World of Play							F53159575	02/05/2026				CAK	1	Carrots																																		WO1
World of Play							F53159575	02/05/2026				ONC	1	Onions - Chilli																																		WO1
World of Play							F53159575	02/05/2026				ORK	1	Onions - Red																																		WO1
World of Play							F53159575	02/05/2026				CW	1	Cabbage - White																																		WO1
World of Play							F53159575	02/05/2026				C17	1	Cheese - Soprano Red Grated																																		WO1
World of Play							F53159575	02/05/2026				POR	11	Chips - Chunky (Vacuum Pack)																																		WO1
World of Play							F53159575	02/05/2026				PR	3	Peppers - Red																																		WO1
World of Play							F53159575	02/05/2026				PY	3	Peppers - Yellow																																		WO1

The Downe Arms Inn							F53164585	02/05/2026				KFB	10	Kale																																		DO1
The Downe Arms Inn							F53164585	02/05/2026				LOB	4	Lettuce - Lollo Bionda																																		DO1
The Downe Arms Inn							F53164585	02/05/2026				HCC	2	Chips - Chunky Skin On Prepared 20mm																																		DO1
The Downe Arms Inn							F53164585	02/05/2026				PJ	1	Potatoes - Jumbo																																		DO1

Cod & Lobster Staithes							F53163560	02/05/2026				WCD4	10	Cream - Double																																		CO4
Cod & Lobster Staithes							F53163560	02/05/2026				C17B	1	Cheese - Soprano Red Grated																																		CO4
Cod & Lobster Staithes							F53163560	02/05/2026				C17	1	Cheese - Soprano Red Grated																																		CO4

The Apple Tree - Marton							F53167931	02/05/2026				P10	8	Potatoes - Peeled Standard (blue bag)																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				TK	2	Tomatoes																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				MB6	1	Mushrooms - Button (Medium)																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				LOL	4	Lettuce - Lollo Rosso																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				LI	2	Lettuce - Iceberg																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				LC	1	Lettuce - Endive Curly																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				KFB	6	Kale																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				CF2	2	Cauliflower - Prepared																																		AP4
The Apple Tree - Marton							F53167931	02/05/2026				LC	3	Lettuce - Endive Curly																																		AP4

The Peppermill Cafe							F53103786	02/05/2026				C17	2	Cheese - Soprano Red Grated																																		PE3
The Peppermill Cafe							F53103786	02/05/2026				RCL	2	Chips - Raw Chunky																																		PE3

Beach Road Fisheries							F53160677	02/05/2026				RC14	6	Chips - Raw Fish Shop																																		BE6

Panda Chinese Restaurant							F53163762	02/05/2026				RC14	11	Chips - Raw Fish Shop																																		PA6

Darlington Memorial Hospital CPU							F53055153	02/05/2026				AG	8	Apples - Golden																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				AR	8	Apples - Red																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				BK	13	Bananas																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				CG2	2	Carrots Grated																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				CM2	1	Coleslaw - Mix																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				CR2	1	Cabbage - Red Shredded																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				PPDM	26	Potatoes Peeled 10KG NHS																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				PSDM	13	Potatoes Peeled 5kg NHS																																		DA9
Darlington Memorial Hospital CPU							F53055153	02/05/2026				PW1	3	Potatoes - Wedges Skin On																																		DA9
